signal_type,cik,ticker,company,filed_date,first_trade_date,entry_date,resolved_ticker,has_prices,notes,ret_1m,ret_3m,ret_6m,ret_12m,ret_18m,ret_24m,excess_SPY_1m,excess_SPY_3m,excess_SPY_6m,excess_SPY_12m,excess_SPY_18m,excess_SPY_24m,excess_IWM_1m,excess_IWM_3m,excess_IWM_6m,excess_IWM_12m,excess_IWM_18m,excess_IWM_24m
activist_13d,0001356104,,"Mellanox Technologies, Ltd.  (CIK 0001356104)",2019-03-12,,2019-03-12,False,False,filer_cik=0001517137 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001058057,,MARVELL TECHNOLOGY GROUP LTD  (CIK 0001058057),2019-02-14,,2019-02-14,False,False,filer_cik=0001517137 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001835268,CNTB,Connect Biopharma Holdings Ltd  (CNTB)  (CIK 0001835268),2023-12-20,,2023-12-20,True,True,filer_cik=0001346824,0.4588234997125653,0.5058822770432225,0.5882352776180919,0.11882346885839712,0.14235292764683538,2.2117646382341767,0.4233732075608374,0.38934583431780534,0.42182645163182286,-0.1598100054468896,-0.1890023250238615,1.7009652633733818,0.4604030840629194,0.45844646020711943,0.5575952136889093,-0.025106274697390463,0.026411484139087227,1.8944726437324433
activist_13d,0001785173,,"89bio, Inc.  (ETNB)  (CIK 0001785173)",2023-12-13,,2023-12-13,False,False,filer_cik=0001346824 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001768446,CLYM,"Eliem Therapeutics, Inc.  (ELYM)  (CIK 0001768446)",2023-11-17,,2023-11-17,True,True,filer_cik=0001346824,0.08661418579303093,0.06692916490042933,2.0866142796586145,0.2795275782716944,-0.5354330845394748,-0.33070863259245853,0.028992552551035944,-0.04051766166538018,1.8994274340661614,-0.04765896140820236,-0.8457727822741226,-0.8304365589935293,-0.0403698964713326,-0.04735503003132524,1.910806135224601,-0.030166087394492003,-0.6917278566651204,-0.6831533089591856
activist_13d,0001671858,SPRY,"ARS Pharmaceuticals, Inc.  (SPRY)  (CIK 0001671858)",2023-09-25,,2023-09-25,True,True,filer_cik=0001346824,-0.033333302427220435,0.43333332891817444,1.7777778513637608,2.902777934147992,2.4694444727750477,1.7000001457002467,-0.013436407518789162,0.33306172254644206,1.56885670345662,2.5661092092061324,2.1581769567062605,1.124837760607763,0.024193519330562796,0.2884681542129417,1.6089848026924625,2.6549569339724757,2.314447438776012,1.2999711744249107
activist_13d,0001831915,CTKB,"Cytek Biosciences, Inc.  (CTKB)  (CIK 0001831915)",2023-09-19,,2023-09-19,True,True,filer_cik=0001346824,-0.24610590419465173,0.4345794281459887,0.04361366505354103,-0.17601247679318255,-0.34267916821774913,-0.4221183809878343,-0.21787065743307032,0.36416409185567344,-0.14048861253560085,-0.47919391585265303,-0.6653453106990651,-0.9589040456943055,-0.19367435993902982,0.3445576948409075,-0.10030166489955761,-0.4257468759615235,-0.5181817047827307,-0.8021929757810945
activist_13d,0001817229,VOR,Vor Biopharma Inc.  (VOR)  (CIK 0001817229),2023-08-11,,2023-08-11,True,True,filer_cik=0001346824,-0.12585030284350007,-0.367346917591574,-0.24149661474807393,-0.7176870646792959,-0.5476190352617515,-0.27210884706807104,-0.1266131631186218,-0.34428010726706837,-0.3741914803510231,-0.9509907934566613,-0.9438763831978564,-0.7543623845312812,-0.09019364742387304,-0.24710444262409548,-0.3130719308016694,-0.8215749809459636,-0.7556235959525798,-0.4914869773202517
activist_13d,0001645569,,"DICE Therapeutics, Inc.  (CIK 0001645569)",2023-08-09,,2023-08-09,False,False,filer_cik=0001346824 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001576885,ABOS,"Acumen Pharmaceuticals, Inc.  (ABOS)  (CIK 0001576885)",2023-07-25,,2023-07-25,True,True,filer_cik=0001346824,-0.058653178494195934,-0.5206372422584747,-0.5322230382433057,-0.5061549627490404,-0.765387406872601,-0.8001448293554895,-0.031404815299604594,-0.4470887363758541,-0.6060792169235718,-0.7048659420684334,-1.1084173935583814,-1.232097596343329,-0.011813229570108996,-0.37126576369946795,-0.5377028086120592,-0.6533175585588543,-0.9509204506290463,-0.9715815910351563
activist_13d,0001798749,JBIO,"Aerovate Therapeutics, Inc.  (AVTE)  (CIK 0001798749)",2023-06-27,,2023-06-27,True,True,filer_cik=0001346824,0.06206017262186925,-0.16186821151560538,0.4843250274230151,-0.8931541863322319,-0.8317338387412206,-0.9796549298022337,0.024643612983425545,-0.14172053792162298,0.3855262788745062,-1.1633293504240638,-1.2387079498636804,-1.4334225767822268,0.004468616681564841,-0.11724756246280554,0.3618896022118512,-1.0103020971421954,-1.0874467771795566,-1.198774735317759
activist_13d,0001692830,,"Satsuma Pharmaceuticals, Inc.  (CIK 0001692830)",2023-06-12,,2023-06-12,False,False,filer_cik=0001346824 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001786255,,"Icosavax, Inc.  (CIK 0001786255)",2023-05-30,,2023-05-30,False,False,filer_cik=0001346824 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001781174,ACRV,"Acrivon Therapeutics, Inc.  (ACRV)  (CIK 0001781174)",2023-03-30,,2023-03-30,True,True,filer_cik=0001346824,-0.0993473451304483,-0.06018853705598737,-0.30674398505711986,-0.5148658393236506,-0.49383611034212427,-0.8810732421877026,-0.12860167021464042,-0.1623101712359163,-0.37333123184242134,-0.8186887557693793,-0.9317607926429599,-1.246943274811913,-0.10003244148177082,-0.13216382628328271,-0.3231914431591765,-0.6982151001616509,-0.7625631455314679,-0.9911289291735079
activist_13d,0001785530,HOWL,"Werewolf Therapeutics, Inc.  (HOWL)  (CIK 0001785530)",2023-01-10,,2023-01-10,True,True,filer_cik=0001346824,0.48430489438057034,0.11659192297732845,0.5246637068550579,1.2511210484259134,0.2825111527506128,-0.394618828567207,0.4420343307912584,0.06787631469057698,0.3649728825183878,1.0129883182906023,-0.18628010632256276,-0.9272624550711777,0.43211954092497784,0.13886885294816653,0.446212097741443,1.1629042615319491,0.0548625616241365,-0.6445060989884075
activist_13d,0001830749,,Achilles Therapeutics plc  (ACHL)  (CIK 0001830749),2022-12-30,,2022-12-30,False,False,filer_cik=0001346824 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001707502,SLDB,Solid Biosciences Inc.  (SLDB)  (CIK 0001707502),2022-12-05,,2022-12-05,True,True,filer_cik=0001346824,-0.094427264692305,-0.1811145618242992,-0.02941177338985901,-0.470588226610141,0.2476780761643278,-0.21826622896066772,-0.04821049328843163,-0.18402230283238696,-0.10587562994983946,-0.6265707004517166,-0.11949305406192479,-0.7841888040737756,-0.048555047472356616,-0.20621972729260019,-0.0646872213753088,-0.4930575629040298,0.12304838539902518,-0.5620901240409241
activist_13d,0001538927,,"Forma Therapeutics Holdings, Inc.  (CIK 0001538927)",2022-10-14,,2022-10-14,False,False,filer_cik=0001346824 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001811764,,POINT Biopharma Global Inc.  (CIK 0001811764),2022-09-26,,2022-09-26,False,False,filer_cik=0001346824 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001835597,PEPG,PepGen Inc.  (PEPG)  (CIK 0001835597),2022-06-23,,2022-06-23,True,True,filer_cik=0001346824,-0.011437858845290472,-0.597222228715103,0.23039221415287003,-0.22058822383609267,-0.45179737225321925,0.3823529732589406,-0.05775337544538994,-0.5911313451904461,0.1998746878075266,-0.38041815474860485,-0.7347717007632512,-0.10464106657667771,-0.07391241183198882,-0.6064079752542619,0.18448924700044578,-0.3022821733503508,-0.6676501466170887,0.16880720600919252
activist_13d,0001631574,WVE,Wave Life Sciences Ltd.  (WVE)  (CIK 0001631574),2022-06-21,,2022-06-21,True,True,filer_cik=0001346824,0.8155340356419583,0.7815534845802201,1.538835031236307,0.985437022425004,1.3300972446913093,1.5291263023615245,0.7522925096468593,0.7532980260576458,1.5168038556275578,0.8026228445083361,1.0516116749405315,1.0378894499081335,0.730604897625293,0.7225552471928143,1.5057820889887996,0.8772758115320771,1.133719227682908,1.2960911864285172
activist_13d,0001479419,KALA,"Kala Pharmaceuticals, Inc.  (KALA)  (CIK 0001479419)",2022-06-03,,2022-06-03,True,True,filer_cik=0001346824,-0.13684212534051188,-0.11578951383891856,-0.7357894746880782,-0.16631578144274262,-0.5310526396098889,-0.6542105172809802,-0.07440132198882188,-0.07534132829155371,-0.7353181403397525,-0.22658263366850517,-0.6702955682395777,-0.9977878837113068,-0.05634434861047688,-0.0810659176236107,-0.7489449853709167,-0.1675840122607516,-0.5402438336102859,-0.7754108399315465
activist_13d,0001787400,NKTX,"Nkarta, Inc.  (NKTX)  (CIK 0001787400)",2022-05-02,,2022-05-02,True,True,filer_cik=0001346824,-0.27490680209078733,-0.31806074168525067,-0.32818330585274536,-0.741608961835347,-0.8982418795929553,-0.6057538670806673,-0.2631088589557731,-0.3068242681939163,-0.2678467944373112,-0.742701711236101,-0.9427779536285169,-0.8783897071757312,-0.26083462310911887,-0.3212864848925988,-0.3168074295930562,-0.6786472492308111,-0.8046504397951626,-0.7186588348782688
activist_13d,0001731831,,"Eidos Therapeutics, Inc.  (CIK 0001731831)",2020-10-07,,2020-10-07,False,False,filer_cik=0001346824 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001481512,,"Ra Pharmaceuticals, Inc.  (CIK 0001481512)",2019-10-11,,2019-10-11,False,False,filer_cik=0001346824 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001348911,KALV,"KalVista Pharmaceuticals, Inc.  (KALV)  (CIK 0001348911)",2019-04-24,,2019-04-24,True,True,filer_cik=0001346824,-0.01582019404135404,-0.25520403627360944,-0.5407993537566271,-0.5757702170613523,-0.33430476826032185,0.01873434000894747,0.018707140040164272,-0.2917370022613337,-0.5737247094951676,-0.5502843982039609,-0.5411554253682124,-0.45980924733052,0.03903233615412105,-0.25364993027516725,-0.5233222241327374,-0.348284564682635,-0.3648066155600508,-0.44826845044472363
activist_13d,0001064728,BTU,PEABODY ENERGY CORP  (BTU)  (CIK 0001064728),2023-12-21,,2023-12-21,True,True,filer_cik=0001791786,0.09856250751657525,-0.014559121339831949,-0.1013725751366562,-0.15571054428410525,-0.4678226728359699,0.2844648715684006,0.07171666246318531,-0.11755253024671664,-0.2612753412889074,-0.42991893713814455,-0.793225440115947,-0.21199214555963186,0.124912635751385,-0.046829948870574345,-0.11144450180052579,-0.2779155170604056,-0.5654490263331352,-0.004174742587218061
activist_13d,0001737706,SDRL,Seadrill Ltd  (SDRL)  (CIK 0001737706),2023-12-04,,2023-12-04,True,True,filer_cik=0001791786,0.08310055332646749,0.030726250534332866,0.15270022144069473,-0.06471133236829307,-0.3705772464669207,-0.26652698090324856,0.05576361903437066,-0.08998312763327876,-0.026448982248931108,-0.4132784094001267,-0.7099306691782484,-0.802137734859189,0.04221759992624463,-0.07153992642204243,0.048658146156010496,-0.36972035842362083,-0.5324772896969089,-0.6403596263391503
activist_13d,0000004281,HWM,"Howmet Aerospace Inc.  (HWM, HWM-P)  (CIK 0000004281)",2023-06-02,,2023-06-02,True,True,filer_cik=0001791786,0.08353645811007926,0.10195876681366522,0.17436060967515066,0.8294784720403641,1.6522774532051732,2.9105566395789126,0.044145810753304815,0.0436626926868966,0.09371279119795872,0.5768103976376113,1.2115477347541197,2.472081482627801,0.060053066487257833,0.050544119427274214,0.15088894719361545,0.7046325364832202,1.3071550296413805,2.71687593599725
activist_13d,0001410098,CRMD,CorMedix Inc.  (CRMD)  (CIK 0001410098),2021-02-11,,2021-02-11,True,True,filer_cik=0001791786,-0.3030074943742179,-0.4315789598224187,-0.5526315997040312,-0.6887218190139854,-0.6879699221163595,-0.6774436165165203,-0.31759593004802056,-0.48510636038708466,-0.6993356870300902,-0.8540599683694019,-0.8039201845224409,-0.7655129705906316,-0.3374261407275777,-0.3854035567123022,-0.5406974601504649,-0.5949485792136756,-0.5845877421657083,-0.5477908506933723
activist_13d,0001464790,RILYT,"B. Riley Financial, Inc.  (RILY, RILYG, RILYK, RILYL, RILYM, RILYN, RILYP, RILYT, RILYZ)  (CIK 0001464790)",2020-01-23,,2020-01-23,True,True,filer_cik=0001791786,0.0075899648715183066,0.03202414430030398,0.08380580065585463,0.06656426237871771,,,0.03562563667857155,0.18576521535046842,0.1001791870725458,-0.10921734822026297,,,0.03971895183921492,0.310583044177577,0.19197820139487531,-0.23570512965224522,,
activist_13d,0001440024,,"Roadrunner Transportation Systems, Inc.  (CIK 0001440024)",2020-01-13,,2020-01-13,False,False,filer_cik=0001791786 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0000701985,BBWI,"Bath & Body Works, Inc.  (BBWI)  (CIK 0000701985)",2023-03-06,,2023-03-06,True,True,filer_cik=0001040273,-0.07115629863619388,0.017208875017304504,-0.0330923285384076,0.16276203241084497,-0.22849588047504588,-0.1917131791238249,-0.08539647843725484,-0.042771064533750014,-0.1521607895427618,-0.11668392518989124,-0.6167387636514221,-0.6167880162153179,-0.0038380796807429007,0.062027881089395165,-0.029587882538562593,0.05884917738927631,-0.3744205341290041,-0.2842332620589596
activist_13d,0001583708,S,"SentinelOne, Inc.  (S)  (CIK 0001583708)",2023-01-30,,2023-01-30,True,True,filer_cik=0001040273,0.05003423814953467,0.12474295241877686,0.16175466659833848,0.8368745001217095,0.4825222025052547,0.6148046072339104,0.06463779520720803,0.0835391425740688,0.013637437306352806,0.6131316705995851,0.0976655047812518,0.0804685228581914,0.04211732712459004,0.1835489058652241,0.09681614469286948,0.7897256570829763,0.30042934316145975,0.38533314368158034
activist_13d,0001799983,,"Global Blue Group Holding AG  (GB, GB-WT)  (CIK 0001799983)",2022-12-02,,2022-12-02,False,False,filer_cik=0001040273 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001851194,,"Ventyx Biosciences, Inc.  (VTYX)  (CIK 0001851194)",2022-11-09,,2022-11-09,False,False,filer_cik=0001040273 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001800682,,"Cano Health, Inc.  (CIK 0001800682)",2022-10-25,,2022-10-25,False,False,filer_cik=0001040273 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0001735858,,Far Point Acquisition Corp  (CIK 0001735858),2020-08-17,,2020-08-17,False,False,filer_cik=0001040273 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0000016732,CPB,CAMPBELL SOUP CO  (CPB)  (CIK 0000016732),2020-01-07,,2020-01-07,True,True,filer_cik=0001040273,-0.000622655000126926,-0.03008920522359637,0.035560970790268875,0.016096479881408943,-0.012516684812971413,-0.022098647915132386,-0.03548139199317224,0.14355735907162925,0.04575907104513344,-0.1629879054196599,-0.38160486654150794,-0.5202140408919382,-0.013547090689024488,0.28206704927510107,0.16802043011724221,-0.24267644903209384,-0.3815809927641225,-0.3725185029984266
activist_13d,0000823094,,SOTHEBYS  (CIK 0000823094),2019-06-17,,2019-06-17,False,False,filer_cik=0001040273 | unresolved,,,,,,,,,,,,,,,,,,
activist_13d,0000010456,BAX,BAXTER INTERNATIONAL INC  (BAX)  (CIK 0000010456),2019-05-17,,2019-05-17,True,True,filer_cik=0001040273,0.06331746679070549,0.14792357707750003,0.06839713877932407,0.1548445688986435,0.10162250424512265,0.1163014307243162,0.04036789329895085,0.13247851968786284,-0.02484386640865277,0.10171112528100212,-0.18753994103247207,-0.37788434705620055,0.0521101346902626,0.17204060703691326,0.026686670047620265,0.2740247817695928,-0.05848775375694504,-0.35967824729806996
